tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt3276464	tvEpisode	Mako Tanida (No. 83)	Mako Tanida (No. 83)	0	2014	\N	42	Crime,Drama,Mystery
tt3276466	tvEpisode	Ivan (No. 88)	Ivan (No. 88)	0	2014	\N	43	Crime,Drama,Mystery
tt3276468	tvEpisode	Milton Bobbit (No. 135)	Milton Bobbit (No. 135)	0	2014	\N	42	Crime,Drama,Mystery
tt3276470	tvEpisode	The Pavlovich Brothers (Nos. 119-122)	The Pavlovich Brothers (Nos. 119-122)	0	2014	\N	43	Crime,Drama,Mystery
tt3276472	tvEpisode	The Kingmaker (No. 42)	The Kingmaker (No. 42)	0	2014	\N	42	Crime,Drama,Mystery
tt3276474	tvEpisode	Berlin (No. 8)	Berlin (No. 8)	0	2014	\N	42	Crime,Drama,Mystery
tt3276476	tvEpisode	Berlin (No. 8): Conclusion	Berlin (No. 8): Conclusion	0	2014	\N	43	Crime,Drama,Mystery
tt3277226	tvEpisode	Frederick Barnes (No. 47)	Frederick Barnes (No. 47)	0	2013	\N	43	Crime,Drama,Mystery
tt3278566	tvEpisode	Cooperative Polygraphy	Cooperative Polygraphy	0	2014	\N	21	Comedy
tt3278574	tvEpisode	Geothermal Escapism	Geothermal Escapism	0	2014	\N	20	Comedy
tt3278580	tvEpisode	Analysis of Cork-Based Networking	Analysis of Cork-Based Networking	0	2014	\N	21	Comedy
tt3278586	tvEpisode	Bondage and Beta Male Sexuality	Bondage and Beta Male Sexuality	0	2014	\N	21	Comedy
tt3278596	tvEpisode	App Development and Condiments	App Development and Condiments	0	2014	\N	21	Comedy
tt3278600	tvEpisode	VCR Maintenance and Educational Publishing	VCR Maintenance and Educational Publishing	0	2014	\N	21	Comedy
tt3278824	tvEpisode	The Caller	The Caller	0	2013	\N	43	Crime,Drama,Mystery
tt3279006	tvEpisode	Gatekeeper	Gatekeeper	0	2013	\N	41	Crime,Drama,Mystery
tt32801381	tvEpisode	Redcoat	Redcoat	0	2025	\N	\N	Crime,Drama,Mystery
